"marca_tiempo";"voc";"presion sonora";"humedad_relativa_interior";"temperatura_interior";"iluminancia_interior";"pm2.5";"co2_interior";"dispositivos_contectados_wifi";"energia_ventilador_techo";"energia_iluminacion";"energia_enchufes";"energia_agua_refrigerada";"energia_ventilador_ahu";"suministro_aire";"posicion_damper";"setpoint_temperatura";"posicion_valvula_bobina_enfriamiento";"comando_valvula_bobina_enfriamiento";"velocidad_ventilador_ahu";"temperatura_ambiental_offcoil";"setpoint_temperatura_offcoil";"presion_filtro";"humedad_suministro_aire";"presion_suministro_aire";"temperatura_suministro_aire";"presion_barametrica";"temperatura_exterior";"radiacion_solar_global_horizontal";"direccion_viento";"velocidad_viento";"co2_exterior";"humedad_relativa_exterior";"ocupantes_presencia";"ocupantes_conteo"
2021-09-07 00:00:00;20;62,23333359;82,03932953;26,84600067;16,0466671;6,533333302;449,2666626;1;0;0;0;0;0;45,14459229;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005,198364;26,10163116;0;108,0929718;0,189999998;463,0935364;97,70488739;0;0
2021-09-07 00:05:00;20;62,42666626;78,89633179;26,62599945;17,36666679;4,866666794;441,8333435;2;0;0;0,2;0;0,01757;50,93579483;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005,198425;26,10161591;0;91,17533112;0,152101263;462,0963135;97,40485382;0;0
2021-09-07 00:10:00;20;62,61000061;76,13766479;26,18499947;18,18000031;3,733333349;432,0666809;2;0;0,21;0;0;0,01563;45,14469147;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005,200012;26,10000038;0;88,30000305;0,150000006;463,4760742;97,40000153;0;0
2021-09-07 00:15:00;20;62,77931213;74,77069092;25,90517235;18,32413864;3,103448391;426,0689697;1;0;0;0;0;0,01758;51,030056;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005,200012;26,10000038;0;109,6999969;0,150000006;462,886261;97,29837799;0;0
2021-09-07 00:20:00;20;62,75;73,42533112;25,76066589;18,91333389;2,566666603;419,4666748;2;0;0;0;0;0,01758;45,14625931;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005,003235;26,10162163;0;211,6000061;0,150000006;462,4961548;97,40324402;0;0
2021-09-07 00:25:00;20;62,8133316;72,60099792;25,65633392;19,88666725;2,166666746;413,6666565;2;0;0;0,21;0;0,01562;45,14459229;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005;26,10162544;0;211,6000061;0,150000006;464,2661133;97,59999847;0;0
2021-09-07 00:30:00;20;62,9066658;72,24233246;25,46933365;18,68666649;2;408,4666748;1;0;0,2;0;0;0,01758;45,14459229;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,37455368;1005;26,10000038;0;260,9851685;0,150000006;462,6895752;97,59999847;0;0
2021-09-07 00:35:00;20;62,89666748;71,91833496;25,41366577;20,88999939;1,700000048;405,9333191;1;0;0;0;0;0,01758;51,03034973;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,47460365;1005;26,10000038;0;354,5023193;0,129999995;462,4994202;97,19999695;0;0
2021-09-07 00:40:00;20,16666603;62,94666672;71,98733521;25,28066635;20,20000076;1,533333302;406,6333313;1;0;0;0;0;0,01562;51,02976227;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,47460365;1004,996765;26,20000076;2;272,5443115;0,209999993;464,4758606;97,19999695;0;0
2021-09-07 00:45:00;20,0357151;62,20357132;71,83071136;25,18928528;21,20714378;1,607142806;404,5714417;1;0;0,2;0,2;0;0,01758;45,14459229;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,47460365;1004,900024;26,20000076;1,01632762;19,20468712;0,408367246;462,3092651;97,19999695;0;0
2021-09-07 00:50:00;20;63,19666672;71,94033051;25,14366722;67,05999756;1,766666651;405,5666809;1;0;0;0;0;0,01758;45,14459229;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,47460365;1004,898376;26,39999962;0;8,388350487;0,425942749;463,8890686;97,79676056;0;0
2021-09-07 00:55:00;20;63,81000137;71,88700104;25,07666588;165,3399963;1,833333373;411;1;0;0;0;0;0,01562;45,14459229;100;26;7,738284588;0;0;24,09933662;17;0;94,8447876;0;25,47460365;1004,900024;26,29999924;0;93,37058258;0,370000005;463,2958374;97,69999695;0;0
