"marca_tiempo";"hora_solar";"acimut";"altura";"cenit";"radiacion_solar_global_horizontal";"radiacion_difusa";"radiacion_directa_horizontal";"radiacion_directa_perpendicular";"radiacion_directa_fachada";"radiacion_global_fachada"
"2021-09-07 00:05:00";"2021-09-06 23:02:05";119,209160629016;0;90;0;0;0;0;0;0
"2021-09-07 00:10:00";"2021-09-06 23:07:05";121,436124281732;0;90;0;0;0;0;0;0
"2021-09-07 00:15:00";"2021-09-06 23:12:05";123,994707358239;0;90;0;0;0;0;0;0
"2021-09-07 00:20:00";"2021-09-06 23:17:05";126,951216298027;0;90;0;0;0;0;0;0
"2021-09-07 00:25:00";"2021-09-06 23:22:05";130,385280847439;0;90;0;0;0;0;0;0
"2021-09-07 00:30:00";"2021-09-06 23:27:05";134,389974814591;0;90;0;0;0;0;0;0
"2021-09-07 00:35:00";"2021-09-06 23:32:05";139,068643504755;0;90;0;0;0;0;0;0
"2021-09-07 00:40:00";"2021-09-06 23:37:05";144,525126540865;0;90;2;2;0;0;0;2
"2021-09-07 00:45:00";"2021-09-06 23:42:05";150,842820077316;0;90;1,01632762;1,01632762;0;0;0;1,01632762
"2021-09-07 00:50:00";"2021-09-06 23:47:05";158,049012919504;0;90;0;0;0;0;0;0
"2021-09-07 00:55:00";"2021-09-06 23:52:05";166,068290919497;0;90;0;0;0;0;0;0
"2021-09-07 01:00:00";"2021-09-06 23:57:05";174,684966769198;0;90;0;0;0;0;0;0
"2021-09-07 01:05:00";"2021-09-07 00:02:05";-176,277621445683;0;90;0;0;0;0;0;0
"2021-09-07 01:10:00";"2021-09-07 00:07:05";-167,172921741644;0;90;0;0;0;0;0;0
"2021-09-07 01:15:00";"2021-09-07 00:12:05";-158,680800131624;0;90;0;0;0;0;0;0
"2021-09-07 01:20:00";"2021-09-07 00:17:05";-151,068122814991;0;90;0;0;0;0;0;0
"2021-09-07 01:25:00";"2021-09-07 00:22:05";-144,431027901251;0;90;0;0;0;0;0;0
"2021-09-07 01:30:00";"2021-09-07 00:27:05";-138,739637209024;0;90;0;0;0;0;0;0
"2021-09-07 01:35:00";"2021-09-07 00:32:05";-133,896693056869;0;90;0;0;0;0;0;0
"2021-09-07 01:40:00";"2021-09-07 00:37:05";-129,782007378758;0;90;0;0;0;0;0;0
"2021-09-07 01:45:00";"2021-09-07 00:42:05";-126,27766284621;0;90;0;0;0;0;0;0
"2021-09-07 01:50:00";"2021-09-07 00:47:05";-123,279078611019;0;90;0;0;0;0;0;0
"2021-09-07 01:55:00";"2021-09-07 00:52:05";-120,698082445044;0;90;0;0;0;0;0;0
"2021-09-07 02:00:00";"2021-09-07 00:57:05";-118,462231197438;0;90;0;0;0;0;0;0
"2021-09-07 02:05:00";"2021-09-07 01:02:05";-116,512726498371;0;90;0,016327905;0,016327905;0;0;0;0,016327905
"2021-09-07 02:10:00";"2021-09-07 01:07:05";-114,802050833556;0;90;0;0;0;0;0;0
"2021-09-07 02:15:00";"2021-09-07 01:12:05";-113,291790791771;0;90;0;0;0;0;0;0
"2021-09-07 02:20:00";"2021-09-07 01:17:05";-111,950796919815;0;90;0;0;0;0;0;0
"2021-09-07 02:25:00";"2021-09-07 01:22:05";-110,753691402293;0;90;0;0;0;0;0;0
"2021-09-07 02:30:00";"2021-09-07 01:27:05";-109,679682910503;0;90;0;0;0;0;0;0
"2021-09-07 02:35:00";"2021-09-07 01:32:05";-108,711634716335;0;90;0;0;0;0;0;0
"2021-09-07 02:40:00";"2021-09-07 01:37:05";-107,835334596679;0;90;0;0;0;0;0;0
"2021-09-07 02:45:00";"2021-09-07 01:42:05";-107,038922726861;0;90;0;0;0;0;0;0
"2021-09-07 02:50:00";"2021-09-07 01:47:05";-106,312442244367;0;90;0,98365587;0,98365587;0;0;0;0,98365587
"2021-09-07 02:55:00";"2021-09-07 01:52:05";-105,647484781128;0;90;0;0;0;0;0;0
"2021-09-07 03:00:00";"2021-09-07 01:57:05";-105,036909545718;0;90;0,983848751;0,983848751;0;0;0;0,983848751
"2021-09-07 03:05:00";"2021-09-07 02:02:05";-104,474619506555;0;90;0;0;0;0;0;0
"2021-09-07 03:10:00";"2021-09-07 02:07:05";-103,955382071888;0;90;0;0;0;0;0;0
"2021-09-07 03:15:00";"2021-09-07 02:12:05";-103,474684602579;0;90;0;0;0;0;0;0
"2021-09-07 03:20:00";"2021-09-07 02:17:05";-103,028617330073;0;90;1,983770967;1,983770967;0;0;0;1,983770967
"2021-09-07 03:25:00";"2021-09-07 02:22:05";-102,613777950327;0;90;1,999950171;1,999950171;0;0;0;1,999950171
"2021-09-07 03:30:00";"2021-09-07 02:27:05";-102,227193455363;0;90;0;0;0;0;0;0
"2021-09-07 03:35:00";"2021-09-07 02:32:05";-101,866255747711;0;90;0;0;0;0;0;0
"2021-09-07 03:40:00";"2021-09-07 02:37:05";-101,528668334977;0;90;0,016278343;0,016278343;0;0;0;0,016278343
"2021-09-07 03:45:00";"2021-09-07 02:42:05";-101,212401979153;0;90;0;0;0;0;0;0
"2021-09-07 03:50:00";"2021-09-07 02:47:05";-100,915657620556;0;90;0;0;0;0;0;0
"2021-09-07 03:55:00";"2021-09-07 02:52:05";-100,636835241365;0;90;0,016245576;0,016245576;0;0;0;0,016245576
"2021-09-07 04:00:00";"2021-09-07 02:57:05";-100,374507602477;0;90;0;0;0;0;0;0
"2021-09-07 04:05:00";"2021-09-07 03:02:05";-100,127397997788;0;90;0,999866724;0,999866724;0;0;0;0,999866724
"2021-09-07 04:10:00";"2021-09-07 03:07:05";-99,8943613354631;0;90;0;0;0;0;0;0
"2021-09-07 04:15:00";"2021-09-07 03:12:05";-99,6743679866164;0;90;0;0;0;0;0;0
"2021-09-07 04:20:00";"2021-09-07 03:17:05";-99,4664899457192;0;90;0;0;0;0;0;0
"2021-09-07 04:25:00";"2021-09-07 03:22:05";-99,26988893005;0;90;0,016343879;0,016343879;0;0;0;0,016343879
"2021-09-07 04:30:00";"2021-09-07 03:27:05";-99,0838061120066;0;90;0;0;0;0;0;0
"2021-09-07 04:35:00";"2021-09-07 03:32:05";-98,9075532317106;0;90;0;0;0;0;0;0
"2021-09-07 04:40:00";"2021-09-07 03:37:05";-98,7405048807045;0;90;0;0;0;0;0;0
"2021-09-07 04:45:00";"2021-09-07 03:42:05";-98,5820917827884;0;90;0;0;0;0;0;0
"2021-09-07 04:50:00";"2021-09-07 03:47:05";-98,431794926805;0;90;0;0;0;0;0;0
"2021-09-07 04:55:00";"2021-09-07 03:52:05";-98,2891404297541;0;90;0;0;0;0;0;0
"2021-09-07 05:00:00";"2021-09-07 03:57:05";-98,1536950280025;0;90;0;0;0;0;0;0
"2021-09-07 05:05:00";"2021-09-07 04:02:05";-98,0250621103649;0;90;0;0;0;0;0;0
"2021-09-07 05:10:00";"2021-09-07 04:07:05";-97,9028782201002;0;90;0;0;0;0;0;0
"2021-09-07 05:15:00";"2021-09-07 04:12:05";-97,7868099639055;0;90;0;0;0;0;0;0
"2021-09-07 05:20:00";"2021-09-07 04:17:05";-97,6765512751997;0;90;0;0;0;0;0;0
"2021-09-07 05:25:00";"2021-09-07 04:22:05";-97,5718209867075;0;90;0;0;0;0;0;0
"2021-09-07 05:30:00";"2021-09-07 04:27:05";-97,472360673837;0;90;0;0;0;0;0;0
"2021-09-07 05:35:00";"2021-09-07 04:32:05";-97,377932735812;0;90;0;0;0;0;0;0
"2021-09-07 05:40:00";"2021-09-07 04:37:05";-97,2883186861433;0;90;0;0;0;0;0;0
"2021-09-07 05:45:00";"2021-09-07 04:42:05";-97,2033176279487;0;90;0;0;0;0;0;0
"2021-09-07 05:50:00";"2021-09-07 04:47:05";-97,1227448929679;0;90;0;0;0;0;0;0
"2021-09-07 05:55:00";"2021-09-07 04:52:05";-97,0464308259756;0;90;0;0;0;0;0;0
"2021-09-07 06:00:00";"2021-09-07 04:57:05";-96,9742196987343;0;90;0;0;0;0;0;0
"2021-09-07 06:05:00";"2021-09-07 05:02:05";-96,9059687397307;0;90;0;0;0;0;0;0
"2021-09-07 06:10:00";"2021-09-07 05:07:05";-96,8415472677515;0;90;0;0;0;0;0;0
"2021-09-07 06:15:00";"2021-09-07 05:12:05";-96,780835918919;0;90;0;0;0;0;0;0
"2021-09-07 06:20:00";"2021-09-07 05:17:05";-96,7237259581719;0;90;0;0;0;0;0;0
"2021-09-07 06:25:00";"2021-09-07 05:22:05";-96,670118667361;0;90;0;0;0;0;0;0
"2021-09-07 06:30:00";"2021-09-07 05:27:05";-96,6199248031757;0;90;0;0;0;0;0;0
"2021-09-07 06:35:00";"2021-09-07 05:32:05";-96,5730641190275;0;90;0;0;0;0;0;0
"2021-09-07 06:40:00";"2021-09-07 05:37:05";-96,5294649458361;0;90;0;0;0;0;0;0
"2021-09-07 06:45:00";"2021-09-07 05:42:05";-96,4890638273805;0;90;0;0;0;0;0;0
"2021-09-07 06:50:00";"2021-09-07 05:47:05";-96,4518052065341;0;90;0;0;0;0;0;0
"2021-09-07 06:55:00";"2021-09-07 05:52:05";-96,4176411592874;0;90;0;0;0;0;0;0
"2021-09-07 07:00:00";"2021-09-07 05:57:05";-96,3865311740018;0;90;0;0;0;0;0;0
"2021-09-07 07:05:00";"2021-09-07 06:02:05";-96,3584419738354;0,639888805137215;89,3601111948628;2,000016451;2,000016451;0;0;0;2,000016451
"2021-09-07 07:10:00";"2021-09-07 06:07:05";-96,333347380749;1,8819156115319;88,1180843884681;8,00039959;8,00039959;0;0;0;8,00039959
"2021-09-07 07:15:00";"2021-09-07 06:12:05";-96,3112282199395;3,12399922056664;86,8760007794334;19,00079918;19,00079918;0;0;0;19,00079918
"2021-09-07 07:20:00";"2021-09-07 06:17:05";-96,2920722639768;4,3661323157566;85,6338676842434;25,00004959;25,00004959;0;0;0;25,00004959
"2021-09-07 07:25:00";"2021-09-07 06:22:05";-96,2758742163343;5,60830767107766;84,3916923289223;32,00018311;32,00018311;0;0;0;32,00018311
"2021-09-07 07:30:00";"2021-09-07 06:27:05";-96,2626357344184;6,85051812424224;83,1494818757578;35,00025177;35,00025177;0;0;0;35,00025177
"2021-09-07 07:35:00";"2021-09-07 06:32:05";-96,2523654926208;8,09275655012402;81,907243449876;37;37;0;0;0;37
"2021-09-07 07:40:00";"2021-09-07 06:37:05";-96,2450792863486;9,33501583411933;80,6649841658807;38;38;0;0;0;38
"2021-09-07 07:45:00";"2021-09-07 06:42:05";-96,2408001784365;10,5772888452307;79,4227111547693;44,0002327;44,0002327;0;0;0;44,0002327
"2021-09-07 07:50:00";"2021-09-07 06:47:05";-96,2395586898237;11,8195684086498;78,1804315913502;61,0007515;61,0007515;0;0;0;61,0007515
"2021-09-07 07:55:00";"2021-09-07 06:52:05";-96,2413930368914;13,0618472776085;76,9381527223915;57,9997673;57,9997673;0;0;0;57,9997673
"2021-09-07 08:00:00";"2021-09-07 06:57:05";-96,2463494184155;14,3041181042521;75,6958818957479;74,96760559;74,96760559;0;0;0;74,96760559
"2021-09-07 08:05:00";"2021-09-07 07:02:05";-96,2544823557076;15,5463734092728;74,4536265907272;78;78;0;0;0;78
"2021-09-07 08:10:00";"2021-09-07 07:07:05";-96,2658550902013;16,7886055500184;73,2113944499816;80,0001297;80,0001297;0;0;0;80,0001297
"2021-09-07 08:15:00";"2021-09-07 07:12:05";-96,2805400435124;18,0308066867673;71,9691933132327;75;75;0;0;0;75
"2021-09-07 08:20:00";"2021-09-07 07:17:05";-96,2986193458726;19,2729687468258;70,7270312531742;84,00046539;84,00046539;0;0;0;84,00046539
"2021-09-07 08:25:00";"2021-09-07 07:22:05";-96,3201854398292;20,5150833860702;69,4849166139298;93,00053406;93,00053406;0;0;0;93,00053406
"2021-09-07 08:30:00";"2021-09-07 07:27:05";-96,3453417672419;21,7571419475059;68,2428580524941;94,00033569;94,00033569;0;0;0;94,00033569
"2021-09-07 08:35:00";"2021-09-07 07:32:05";-96,3742035489161;22,9991354163669;67,0008645836331;105,0072327;100;5,0072327;1,95641213147892;0;100
"2021-09-07 08:40:00";"2021-09-07 07:37:05";-96,4068986677353;24,2410543712112;65,7589456287888;149,0003662;100;49,0003662;20,1183985387189;0;100
"2021-09-07 08:45:00";"2021-09-07 07:42:05";-96,4435686679163;25,4828889303964;64,5171110696036;138,0006714;100;38,0006714;16,349466832408;0;100
"2021-09-07 08:50:00";"2021-09-07 07:47:05";-96,484369885076;26,7246286932253;63,2753713067747;132,0003662;100;32,0003662;14,3906598614247;0;100
"2021-09-07 08:55:00";"2021-09-07 07:52:05";-96,5294747242204;27,9662626749515;62,0337373250485;146,9999542;100;46,9999542;22,0407026734888;0;100
"2021-09-07 09:00:00";"2021-09-07 07:57:05";-96,5790731056118;29,2077792347028;60,7922207652972;160,8372192;100;60,8372192;29,6872351435611;0;100
"2021-09-07 09:05:00";"2021-09-07 08:02:05";-96,63337410184;30,4491659952362;59,5508340047638;179,0010071;100;79,0010071;40,0356333061355;0;100
"2021-09-07 09:10:00";"2021-09-07 08:07:05";-96,6926077934174;31,6904097532545;58,3095902467455;207,0012817;100;107,0012817;56,2109013281741;0;100
"2021-09-07 09:15:00";"2021-09-07 08:12:05";-96,757027374976;32,9314963788031;57,0685036211969;260,0007019;100;160,0007019;86,982128765485;0;100
"2021-09-07 09:20:00";"2021-09-07 08:17:05";-96,8269115498273;34,1724107020099;55,8275892979901;257,9999084;100;157,9999084;88,7461870001583;0;100
"2021-09-07 09:25:00";"2021-09-07 08:22:05";-96,9025672574722;35,4131363851184;54,5868636148816;230,0003052;100;130,0003052;75,3310225802972;0;100
"2021-09-07 09:30:00";"2021-09-07 08:27:05";-96,9843327868621;36,6536557773949;53,3463442226051;262,0021057;100;162,0021057;96,71143837012;0;100
"2021-09-07 09:35:00";"2021-09-07 08:32:05";-97,0725813381538;37,8939497500347;52,1060502499653;309,9303589;100;209,9303589;128,939619412114;0;100
"2021-09-07 09:40:00";"2021-09-07 08:37:05";-97,1677251077666;39,1339975076425;50,8660024923575;422,9832153;100;322,9832153;203,846392007243;0;100
"2021-09-07 09:45:00";"2021-09-07 08:42:05";-97,2702199862731;40,3737763721886;49,6262236278114;283,9998779;100;183,9998779;119,189837485838;0;100
"2021-09-07 09:50:00";"2021-09-07 08:47:05";-97,3805709766825;41,6132615345142;48,3867384654858;279,0324402;100;179,0324402;118,895314328947;0;100
"2021-09-07 09:55:00";"2021-09-07 08:52:05";-97,499338462866;42,8524257674399;47,1475742325601;311,0002747;100;211,0002747;143,503899898178;0;100
"2021-09-07 10:00:00";"2021-09-07 08:57:05";-97,6271454853116;44,0912390932669;45,9087609067331;297,0323792;100;197,0323792;137,095717029047;0;100
"2021-09-07 10:05:00";"2021-09-07 09:02:05";-97,7646862154895;45,3296683968847;44,6703316031153;357,9996643;100;257,9996643;183,47997115261;0;100
"2021-09-07 10:10:00";"2021-09-07 09:07:05";-97,9127358627016;46,5676769737275;43,4323230262725;462,9986572;100;362,9986572;263,60488395211;0;100
"2021-09-07 10:15:00";"2021-09-07 09:12:05";-98,072162300777;47,805223999339;42,194776000661;484,5827942;100;384,5827942;284,924254103932;0;100
"2021-09-07 10:20:00";"2021-09-07 09:17:05";-98,2439397695407;49,0422639041579;40,9577360958421;422,2120361;100;322,2120361;243,332375045185;0;100
"2021-09-07 10:25:00";"2021-09-07 09:22:05";-98,4291650918257;50,2787456331289;39,7212543668711;528,986145;100;428,986145;329,960075334962;0;100
"2021-09-07 10:30:00";"2021-09-07 09:27:05";-98,6290769565526;51,514611764602;38,485388235398;515,0023804;100;415,0023804;324,850121487045;0;100
"2021-09-07 10:35:00";"2021-09-07 09:32:05";-98,845078959641;52,749797456341;37,250202543659;539,9920044;100;439,9920044;350,233575127964;0;100
"2021-09-07 10:40:00";"2021-09-07 09:37:05";-99,078767277518;53,9842291778241;36,0157708221759;476,0008545;100;376,0008545;304,13023666945;0;100
"2021-09-07 10:45:00";"2021-09-07 09:42:05";-99,3319640868174;55,2178231766965;34,7821768233035;621,9915771;100;521,9915771;428,725621038953;0;100
"2021-09-07 10:50:00";"2021-09-07 09:47:05";-99,6067581578927;56,4504836122735;33,5495163877265;390,4970703;100;290,4970703;242,102731543546;0;100
"2021-09-07 10:55:00";"2021-09-07 09:52:05";-99,9055544659764;57,6821002690592;32,3178997309408;326,0099792;100;226,0099792;190,99987068297;0;100
"2021-09-07 11:00:00";"2021-09-07 09:57:05";-100,231135220046;58,912545736443;31,087454263557;464,6934204;100;364,6934204;312,316212078852;0;100
"2021-09-07 11:05:00";"2021-09-07 10:02:05";-100,58673545935;60,1416719043573;29,8583280956427;417,9981384;100;317,9981384;275,786771583217;0;100
"2021-09-07 11:10:00";"2021-09-07 10:07:05";-100,976137387818;61,3693055748066;28,6306944251934;449,0028381;100;349,0028381;306,329006501678;0;100
"2021-09-07 11:15:00";"2021-09-07 10:12:05";-101,403789018181;62,595242920062;27,404757079938;445,0005188;100;345,0005188;306,283585333965;0;100
"2021-09-07 11:20:00";"2021-09-07 10:17:05";-101,874954642454;63,8192424214538;26,1807575785462;428,0084534;100;328,0084534;294,356949621594;0;100
"2021-09-07 11:25:00";"2021-09-07 10:22:05";-102,395907372564;65,0410157852936;24,9589842147064;529,9918213;100;429,9918213;389,834924026866;0;100
"2021-09-07 11:30:00";"2021-09-07 10:27:05";-102,974177860691;66,2602161350617;23,7397838649383;540,010437;100;440,010437;402,77819546926;0;100
"2021-09-07 11:35:00";"2021-09-07 10:32:05";-103,618878850481;67,476422491521;22,523577508479;656,0012817;100;556,0012817;513,590603751569;0;100
"2021-09-07 11:40:00";"2021-09-07 10:37:05";-104,341133244552;68,6891191277355;21,3108808722645;243,9974976;100;143,9974976;134,151269370198;0;100
"2021-09-07 11:45:00";"2021-09-07 10:42:05";-105,15464515409;69,8976677490092;20,1023322509908;76,99996948;76,99996948;0;0;0;76,99996948
"2021-09-07 11:50:00";"2021-09-07 10:47:05";-106,076470856584;71,1012694771208;18,8987305228792;88,99980164;88,99980164;0;0;0;88,99980164
"2021-09-07 11:55:00";"2021-09-07 10:52:05";-107,128072716117;72,2989121144826;17,7010878855174;133,0084991;100;33,0084991;31,4457350916856;0;100
"2021-09-07 12:00:00";"2021-09-07 10:57:05";-108,336778502945;73,4892957945017;16,5107042054983;316,3807983;100;216,3807983;207,458694702551;0;100
"2021-09-07 12:05:00";"2021-09-07 11:02:05";-109,737828062415;74,6707263278825;15,3292736721175;878,9290161;100;778,9290161;751,216648802834;0;100
"2021-09-07 12:10:00";"2021-09-07 11:07:05";-111,377278654991;75,8409593740336;14,1590406259664;491,0176697;100;391,0176697;379,138735308577;0;100
"2021-09-07 12:15:00";"2021-09-07 11:12:05";-113,316171280909;76,9969683707528;13,0030316292472;543,0269775;100;443,0269775;431,666950995363;0;100
"2021-09-07 12:20:00";"2021-09-07 11:17:05";-115,636540169694;78,1345922084623;11,8654077915378;779,0299683;100;679,0299683;664,521340106395;0;100
"2021-09-07 12:25:00";"2021-09-07 11:22:05";-118,450052755426;79,247990599375;10,752009400625;1143,995972;100;1043,995972;1025,66742796345;0;100
"2021-09-07 12:30:00";"2021-09-07 11:27:05";-121,910154076206;80,3287901564513;9,67120984354875;1045,991089;100;945,991089;932,546670925578;0;100
"2021-09-07 12:35:00";"2021-09-07 11:32:05";-126,228017505587;81,3647390286113;8,63526097138869;1039,00061;100;939,00061;928,356255675458;0;100
"2021-09-07 12:40:00";"2021-09-07 11:37:05";-131,689668212722;82,3376214741026;7,66237852589734;1063,003906;100;963,003906;954,40520935774;0;100
"2021-09-07 12:45:00";"2021-09-07 11:42:05";-138,661775452841;83,2202306327694;6,77976936723064;379,0089111;100;279,0089111;277,057872541621;0;100
"2021-09-07 12:50:00";"2021-09-07 11:47:05";-147,548079578947;83,9727747617244;6,02722523827561;321,9985962;100;221,9985962;220,771413334743;0;100
"2021-09-07 12:55:00";"2021-09-07 11:52:05";-158,617330690505;84,5411924347382;5,45880756526182;339,0010071;100;239,0010071;237,917101396499;0;100
"2021-09-07 13:00:00";"2021-09-07 11:57:05";-171,644417759681;84,8639806391621;5,13601936083792;469,2925415;100;369,2925415;367,809826266158;0;100
"2021-09-07 13:05:00";"2021-09-07 12:02:05";174,407456602315;84,8943368611106;5,1056631388894;1140,000732;100;1040,000732;1035,87429425926;0;100
"2021-09-07 13:10:00";"2021-09-07 12:07:05";161,086892557035;84,6273019483346;5,37269805166535;779,9898682;100;679,9898682;677,002465327629;0;100
"2021-09-07 13:15:00";"2021-09-07 12:12:05";149,584582127976;84,1031403659425;5,89685963405747;1167,995239;100;1067,995239;1062,34388842332;0;100
"2021-09-07 13:20:00";"2021-09-07 12:17:05";140,273626620279;83,3826749584998;6,61732504150021;1123;100;1023;1016,18473881367;0;100
"2021-09-07 13:25:00";"2021-09-07 12:22:05";132,950293182558;82,522435152532;7,47756484746795;1222,984619;100;1122,984619;1113,43464005726;0;100
"2021-09-07 13:30:00";"2021-09-07 12:27:05";127,218220997379;81,5650795547336;8,43492044526643;515,9952393;100;415,9952393;411,49546664472;0;100
"2021-09-07 13:35:00";"2021-09-07 12:32:05";122,6971297225;80,5400487445234;9,4599512554766;739,0613403;100;639,0613403;630,370570011487;0;100
"2021-09-07 13:40:00";"2021-09-07 12:37:05";119,084532083277;79,4670839719615;10,5329160280385;1144,998657;100;1044,998657;1027,39048424756;0;100
"2021-09-07 13:45:00";"2021-09-07 12:42:05";116,155572888156;78,3594346230049;11,6405653769951;1171,991943;100;1071,991943;1049,94389992011;0;100
"2021-09-07 13:50:00";"2021-09-07 12:47:05";113,746645785671;77,2261223626156;12,7738776373844;813,9769897;100;713,9769897;696,306245993897;0;100
"2021-09-07 13:55:00";"2021-09-07 12:52:05";111,738824787024;76,0734131564241;13,9265868435759;517,9935913;100;417,9935913;405,706629784526;0;100
"2021-09-07 14:00:00";"2021-09-07 12:57:05";110,04494024444;74,9057525205521;15,0942474794479;347,1951904;100;247,1951904;238,666654944936;0;100
"2021-09-07 14:05:00";"2021-09-07 13:02:05";108,600304864043;73,7263608507012;16,2736391492988;358,0074463;100;258,0074463;247,670202660034;1,69530716520355;101,695307165204
