"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5"
"(Intercept)";27,1353808229911;3,62521711106413;4,32836087818793;4,08848440223192;3,76926460578558
"ocupantes_conteo_robus3";-0,00568525930307786;NA;NA;NA;NA
"temperatura_exterior";0,00583750362373347;NA;NA;NA;NA
"energia_agua_refrigerada";-0,0579385259287338;NA;NA;NA;NA
"radiacion_global_fachada";0,00232354612294879;0,000715068551019523;0,000529184496569709;0,000670432996291709;0,000666675102262137
"temperatura_interior_1";NA;0,86740261630771;1,04345259021264;1,06335977046958;1,07043960831678
"ocupantes_conteo_robus3_1";NA;NA;NA;NA;NA
"temperatura_exterior_1";NA;NA;NA;NA;NA
"energia_agua_refrigerada_1";NA;NA;NA;NA;NA
"radiacion_global_fachada_1";NA;-0,000536119668410098;-0,000142897368873727;-0,000444366137559849;-0,000458540753565731
"temperatura_interior_2";NA;NA;-0,20176354356982;-0,314355836760506;-0,31575494920064
"ocupantes_conteo_robus3_2";NA;NA;NA;NA;NA
"temperatura_exterior_2";NA;NA;NA;NA;NA
"energia_agua_refrigerada_2";NA;NA;NA;NA;NA
"radiacion_global_fachada_2";NA;NA;-0,000182457976936094;NA;NA
"temperatura_interior_3";NA;NA;NA;0,101401870740025;0,110017278835323
"ocupantes_conteo_robus3_3";NA;NA;NA;NA;NA
"temperatura_exterior_3";NA;NA;NA;NA;NA
"energia_agua_refrigerada_3";NA;NA;NA;NA;NA
"radiacion_global_fachada_3";NA;NA;NA;NA;NA
"temperatura_interior_4";NA;NA;NA;NA;-0,00264104894446675
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;NA
"temperatura_exterior_4";NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";NA;NA;NA;NA;NA
"radiacion_global_fachada_4";NA;NA;NA;NA;NA
"temperatura_interior_5";NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA
"temperatura_exterior_5";NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA
"radiacion_global_fachada_5";NA;NA;NA;NA;NA
"temperatura_interior_6";NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA
"temperatura_exterior_6";NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA
"radiacion_global_fachada_6";NA;NA;NA;NA;NA
"R2";0,159259767186353;0,796698118861288;0,801721053971641;0,799827157287246;0,803137851506564
"MAE";0,33014955103618;0,143133566102803;0,138182970504076;0,138250107404147;0,136916773670701
"Media residuales";-6,08847884285998e-17;-5,83329680855134e-18;3,58056802870658e-19;3,56645553101981e-17;1,15864685641446e-17
"Desviación típica residuales";0,417957765752358;0,203515188147078;0,198935065656053;0,197846350323547;0,195907836064911
"Número de variables";5;4;6;6;7
