"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";2,73898789999399;3,33753973474766;3,66995080558528;4,22050341520315;4,38046027938469;3,70813800297263;27,1353808229911
"ocupantes_conteo_robus3";-0,000652578605059262;0,0046510920143913;0,0034345399162743;0,00384675177673524;-0,00264428695180108;-0,000778771217238451;-0,00568525930307786
"temperatura_exterior";-0,0086329854916622;-0,00906544492739711;-0,00569704093967379;-0,00535613096879938;0,000872746378653183;-0,00239423941401366;0,00583750362373347
"energia_agua_refrigerada";-0,01960700908131;-0,0326298430971942;-0,0389572845210672;-0,0392991488381772;-0,042095878352939;-0,0335980310046818;-0,0579385259287338
"radiacion_global_fachada";8,72527612813653e-05;0,000212974133122223;0,00026826147458528;0,000325048212764918;0,000440943275699369;0,00058623353646962;0,00232354612294879
"temperatura_interior_1";1,01156525009423;1,02907727459106;1,03582155275283;1,03155138813621;1,0247409095713;0,866553219645486;NA
"ocupantes_conteo_robus3_1";0,00416217031192783;-0,00575692177664964;-0,00407233322319246;-0,0037766424811395;0,00910020206550105;-0,00924900654882738;NA
"temperatura_exterior_1";-0,00155785926645246;0,00482365873617481;0,00236329218673292;0,000306362721072758;-2,62168816742513e-05;0,00105844018178532;NA
"energia_agua_refrigerada_1";-0,011463636409526;-0,00983883487660003;-0,0109606317563029;-0,0150880095307119;0,00586874802325679;-0,00419395590262118;NA
"radiacion_global_fachada_1";-3,71839772726861e-05;-6,38479296265388e-06;-4,55984124650524e-05;-2,19774443157856e-05;-0,000211607510957466;-7,15832461226977e-05;NA
"temperatura_interior_2";-0,287798567847248;-0,289233940935496;-0,294271150653719;-0,303287456009241;-0,184652844992651;NA;NA
"ocupantes_conteo_robus3_2";-0,0039075320700031;0,00377014199935981;0,00457918339372232;0,00489706145414816;-0,0173279466213439;NA;NA
"temperatura_exterior_2";0,0199186198385424;0,0156279729156108;0,0131799205508266;0,0223872745057226;-7,20028624696609e-05;NA;NA
"energia_agua_refrigerada_2";-0,0584141242502144;-0,0497663076804895;-0,0518671163140304;-0,0514127170098668;-0,00104793791965168;NA;NA
"radiacion_global_fachada_2";-0,000153789717573754;-0,000330710925973114;-0,000279332344196766;-0,000300001562724179;0,000231955687250381;NA;NA
"temperatura_interior_3";0,136300053007105;0,118014086360237;0,101308352179813;0,124196556691138;NA;NA;NA
"ocupantes_conteo_robus3_3";-0,0138412703397285;-0,0154888304248576;-0,016962291479408;-0,0204306173184733;NA;NA;NA
"temperatura_exterior_3";-0,00820437139536736;-0,0156677644123346;-0,00496481413332873;-0,0226204032657605;NA;NA;NA
"energia_agua_refrigerada_3";0,0996421876797216;0,105359140870327;0,103470919928672;0,095673556559126;NA;NA;NA
"radiacion_global_fachada_3";0,000589844140517357;0,000712316715086736;0,000626374899739931;0,000442480722168913;NA;NA;NA
"temperatura_interior_4";-0,0411565182292998;-0,0404627828385222;0,029495384861125;NA;NA;NA;NA
"ocupantes_conteo_robus3_4";-0,00238658736264623;-0,00392363618290996;-0,00127585453772203;NA;NA;NA;NA
"temperatura_exterior_4";-0,0020164591450163;0,0136135054059876;-0,00983651037445953;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0335803376439732;0,0209110845188413;-0,000254746068293374;NA;NA;NA;NA
"radiacion_global_fachada_4";-0,000365811297335074;-0,000286435798729262;-0,000309515687275133;NA;NA;NA;NA
"temperatura_interior_5";0,00956727904844519;0,0689917771552912;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_5";0,0159613385961613;0,00407389968908806;NA;NA;NA;NA;NA
"temperatura_exterior_5";0,00582148910361859;-0,0161239105645772;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,0695364820632218;-0,0316212911949372;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";-7,46853705410979e-06;-0,000145289201315915;NA;NA;NA;NA;NA
"temperatura_interior_6";0,0781212127986386;NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_6";-0,0112099326190033;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,00963431053544994;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,15013348803358;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";-0,000243405264739346;NA;NA;NA;NA;NA;NA
"R2";0,830377916928266;0,819165196801638;0,817243434487946;0,813309531229162;0,806982773904409;0,800797617717197;0,159259767186353
"MAE";0,127615904815903;0,130790170538285;0,130762022477376;0,132864376406891;0,134817003317282;0,13930419525296;0,33014955103618
"Media residuales";1,88341405963196e-18;1,67003887178784e-17;9,23948974370535e-18;-4,26899536795147e-17;1,57822795954972e-17;-1,68661381157638e-17;-6,08847884285998e-17
"Desviación típica residuales";0,181889515780087;0,187726259981136;0,18875879283372;0,191067375400434;0,196277752192123;0,201452838541056;0,417957765752358
"Número de variables";35;30;25;20;15;10;5
"p-valor del parámetro menos significativo";0,98064712591366;0,98381995948346;0,992335373411212;0,983220542504071;0,998512818780279;0,903751412265937;0,509185661836923
